Name,URL,Position,HallOfFame,TotalYears,Active
Edgar Bennett,/B/BennEd00.htm,RB,False,8.0,False
Michael Bennett,/B/BennMi00.htm,RB,False,10.0,False
Sean Bennett,/B/BennSe00.htm,RB,False,4.0,False
Woody Bennett,/B/BennWo00.htm,RB,False,10.0,False
Cedric Benson,/B/BensCe00.htm,RB,False,8.0,False
Albert Bentley,/B/BentAl00.htm,RB,False,8.0,False
Giovani Bernard,/B/BernGi00.htm,RB,False,7.0,True
Karl Bernard,/B/BernKa00.htm,RB,False,1.0,False
Rick Berns,/B/BernRi00.htm,RB,False,5.0,False
Rod Bernstine,/B/BernRo00.htm,RB-TE,False,9.0,False
Damien Berry,/B/BerrDa00.htm,RB,False,1.0,False
Jim Bertelsen,/B/BertJi00.htm,RB,False,5.0,False
Art Best,/B/BestAr20.htm,RB,False,4.0,False
Jahvid Best,/B/BestJa00.htm,RB,False,3.0,False
James Betterson,/B/BettJa00.htm,RB,False,2.0,False
Jerome Bettis,/B/BettJe00.htm,RB,True,13.0,False
Ladell Betts,/B/BettLa00.htm,RB,False,9.0,False
Dwight Beverly,/B/BeveDw20.htm,RB,False,1.0,False
Tim Biakabutuka,/B/BiakTi00.htm,RB,False,6.0,False
Frank Bianchini,/B/BianFr20.htm,RB,False,1.0,False
Kapri Bibbs,/B/BibbKa00.htm,RB,False,5.0,False
Erik Bickerstaff,/B/BickEr00.htm,RB,False,1.0,False
Eric Bieniemy,/B/BienEr00.htm,RB,False,9.0,False
Hank Bjorklund,/B/BjorHa00.htm,RB,False,3.0,False
James Black,/B/BlacJa20.htm,RB,False,1.0,False
Alois Blackwell,/B/BlacAl20.htm,RB,False,2.0,False
Michael Blair,/B/BlaiMi00.htm,RB,False,1.0,False
Ricky Blake,/B/BlakRi00.htm,RB,False,1.0,False
Sid Blanks,/B/BlanSi00.htm,RB,False,7.0,False
Derrick Blaylock,/B/BlayDe00.htm,RB,False,5.0,False
Khari Blasingame,/B/BlasKh00.htm,RB,False,1.0,True
Curtis Bledsoe,/B/BledCu20.htm,RB,False,2.0,False
Rocky Bleier,/B/BleiRo00.htm,RB,False,13.0,False
Dennis Bligen,/B/BligDe00.htm,RB,False,4.0,False
Alvin Blount,/B/BlouAl20.htm,RB,False,1.0,False
LeGarrette Blount,/B/BlouLe00.htm,RB,False,9.0,False
Alfred Blue,/B/BlueAl00.htm,RB,False,5.0,True
Ronnie Blye,/B/BlyeRo00.htm,RB,False,2.0,False
Mack Boatner,/B/BoatMa20.htm,RB,False,1.0,False
Tony Boddie,/B/BoddTo20.htm,RB,False,2.0,False
Brandon Bolden,/B/BoldBr00.htm,RB,False,8.0,True
Brock Bolen,/B/BoleBr00.htm,RB,False,3.0,False
Andy Bolton,/B/BoltAn00.htm,RB,False,3.0,False
Reggie Bonnafon,/B/BonnRe00.htm,RB,False,1.0,True
Glen Bonner,/B/BonnGl00.htm,RB,False,2.0,False
Lorenzo Booker,/B/BookLo00.htm,RB,False,5.0,False
Devontae Booker,/B/BookDe00.htm,RB,False,4.0,True
Greg Boone,/B/BoonGr20.htm,RB,False,1.0,False
Mike Boone,/B/BoonMi00.htm,RB,False,2.0,True
Emerson Boozer,/B/BoozEm00.htm,RB,False,10.0,False
James Bostic,/B/BostJa00.htm,RB,False,2.0,False
Lee Bouggess,/B/BougLe00.htm,RB,False,4.0,False
Kevin Bouie,/B/BouiKe20.htm,RB,False,2.0,False
R.J. Bowers,/B/BoweRJ00.htm,RB,False,3.0,False
Larry Bowie,/B/BowiLa00.htm,RB,False,4.0,False
Cory Boyd,/B/BoydCo01.htm,RB,False,1.0,False
Mark Boyer,/B/BoyeMa00.htm,TE-RB-WR,False,8.0,False
Greg Boykin,/B/BoykGr00.htm,RB,False,2.0,False
Allen Bradford,/B/BradAl00.htm,RB,False,5.0,False
Danny Bradley,/B/BradDa21.htm,RB,False,1.0,False
Freddie Bradley,/B/BradFr00.htm,RB,False,1.0,False
Ahmad Bradshaw,/B/BradAh00.htm,RB,False,9.0,False
Jamaal Branch,/B/BranJa00.htm,RB,False,2.0,False
Reggie Branch,/B/BranRe00.htm,RB,False,5.0,False
Jason Bratton,/B/BratJa20.htm,RB,False,1.0,False
Mel Bratton,/B/BratMe00.htm,RB,False,2.0,False
Jim Braxton,/B/BraxJi00.htm,RB,False,8.0,False
Matt Breida,/B/BreiMa00.htm,RB,False,3.0,True
Dewell Brewer,/B/BrewDe20.htm,RB,False,1.0,False
Chris Brewer,/B/BrewCh00.htm,RB,False,4.0,False
Leon Bright,/B/BrigLe00.htm,RB,False,5.0,False
Curtis Brinkley,/B/BrinCu00.htm,RB,False,3.0,False
Larry Brinson,/B/BrinLa00.htm,RB,False,4.0,False
John Brockington,/B/BrocJo00.htm,RB,False,7.0,False
Demitrius Bronson,/B/BronDe00.htm,RB,False,1.0,False
Jason Brookins,/B/BrooJa01.htm,RB,False,1.0,False
James Brooks,/B/BrooJa00.htm,RB,False,12.0,False
Reggie Brooks,/B/BrooRe00.htm,RB,False,4.0,False
Tony Brooks,/B/BrooTo21.htm,RB,False,1.0,False
Tony Brooks-James,/B/BrooTo01.htm,RB,False,1.0,True
Steve Broussard,/B/BrouSt00.htm,RB-WR,False,9.0,False
A.B. Brown,/B/BrowAB00.htm,RB,False,4.0,False
Aaron Brown,/B/BrowAa00.htm,RB,False,3.0,False
Andre Brown,/B/BrowAn03.htm,RB,False,4.0,False
Bill Brown,/B/BrowBi00.htm,RB,False,14.0,False
Bryce Brown,/B/BrowBr02.htm,RB,False,4.0,False
Chris Brown,/B/BrowCh03.htm,RB,False,7.0,False
Charlie Brown,/B/BrowCh02.htm,RB,False,2.0,False
Curtis Brown,/B/BrowCu00.htm,RB,False,7.0,False
Dante Brown,/B/BrowDa02.htm,RB,False,1.0,False
Dee Brown,/B/BrowDe02.htm,RB,False,5.0,False
Derek Brown,/B/BrowDe01.htm,RB,False,4.0,False
Donald Brown,/B/BrowDo00.htm,RB,False,7.0,False
Gary Brown,/B/BrowGa00.htm,RB,False,9.0,False
Gordon Brown,/B/BrowGo20.htm,RB,False,1.0,False
Ivory Lee Brown,/B/BrowIv00.htm,RB,False,1.0,False
Ken Brown,/B/BrowKe00.htm,RB,False,6.0,False
Larry Brown,/B/BrowLa01.htm,RB,False,8.0,False
Mack Brown,/B/BrowMa02.htm,RB,False,2.0,False
Malcolm Brown,/B/BrowMa03.htm,RB,False,5.0,True
Reggie Brown,/B/BrowRe20.htm,RB,False,6.0,False
Reggie Brown,/B/BrowRe00.htm,RB,False,5.0,False
Ronnie Brown,/B/BrowRo05.htm,RB,False,10.0,False
Ted Brown,/B/BrowTe00.htm,RB,False,8.0,False
Theotis Brown,/B/BrowTh00.htm,RB,False,6.0,False
Timmy Brown,/B/BrowTi01.htm,RB,False,10.0,False
Tom Brown,/B/BrowTo00.htm,RB,False,3.0,False
Jim Browne,/B/BrowJi20.htm,RB,False,1.0,False
Jim Brumfield,/B/BrumJi20.htm,RB,False,1.0,False
Bob Brunet,/B/BrunBo00.htm,RB,False,10.0,False
Mike Brunson,/B/BrunMi00.htm,RB,False,1.0,False
Beno Bryant,/B/BryaBe20.htm,RB,False,1.0,False
Charlie Bryant,/B/BryaCh00.htm,RB,False,4.0,False
Cullen Bryant,/B/BryaCu00.htm,RB,False,15.0,False
Kelvin Bryant,/B/BryaKe00.htm,RB,False,5.0,False
Shawn Bryson,/B/BrysSh00.htm,RB,False,7.0,False
Correll Buckhalter,/B/BuckCo00.htm,RB,False,10.0,False
Eldra Buckley,/B/BuckEl00.htm,RB,False,3.0,False
Norm Bulaich,/B/BulaNo00.htm,RB,False,10.0,False
Ronnie Bull,/B/BullRo00.htm,RB,False,10.0,False
Joe Burke,/B/BurkJo20.htm,RB,False,1.0,False
Rex Burkhead,/B/BurkRe00.htm,RB,False,7.0,True
Brandon Burks,/B/BurkBr00.htm,RB,False,1.0,False
Bobby Burnett,/B/BurnBo01.htm,RB,False,4.0,False
Jason Burns,/B/BurnJa20.htm,RB,False,1.0,False
Joe Burns,/B/BurnJo00.htm,RB,False,4.0,False
Leon Burns,/B/BurnLe00.htm,RB,False,2.0,False
Robert Burns,/B/BurnBo00.htm,RB,False,1.0,False
Ode Burrell,/B/BurrOd00.htm,RB-WR-P,False,6.0,False
Tony Burse,/B/BursTo20.htm,RB,False,1.0,False
Michael Bush,/B/BushMi00.htm,RB,False,7.0,False
Reggie Bush,/B/BushRe00.htm,RB,False,11.0,False
Dexter Bussey,/B/BussDe00.htm,RB,False,11.0,False
Bill Butler,/B/ButlBi00.htm,RB,False,3.0,False
Cannonball Butler,/B/ButlCa00.htm,RB,False,8.0,False
Jerry Butler,/B/ButlJe21.htm,RB,False,1.0,False
Terry Butler,/B/ButlTe20.htm,RB,False,1.0,False
Marion Butts,/B/ButtMa00.htm,RB,False,7.0,False
Butler By'not'e,/B/BynoBu20.htm,RB,False,2.0,False
Keith Byars,/B/ByarKe00.htm,RB-TE,False,13.0,False
Kenny Bynum,/B/BynuKe00.htm,RB,False,4.0,False
Earnest Byner,/B/ByneEa00.htm,RB,False,14.0,False
Carl Byrum,/B/ByruCa00.htm,RB,False,3.0,False
Travaris Cadet,/C/CadeTr00.htm,RB,False,7.0,False
Lynn Cain,/C/CainLy00.htm,RB,False,7.0,False
Scott Caldwell,/C/CaldSc20.htm,RB,False,1.0,False
Brian Calhoun,/C/CalhBr00.htm,RB,False,2.0,False
Don Calhoun,/C/CalhDo00.htm,RB,False,9.0,False
Rick Calhoun,/C/CalhRi20.htm,RB,False,1.0,False
Ken Callicutt,/C/CallKe21.htm,RB,False,5.0,False
Earl Campbell,/C/CampEa00.htm,RB,True,8.0,False
Mike Campbell,/C/CampMi00.htm,RB,False,1.0,False
Sonny Campbell,/C/CampSo00.htm,RB,False,2.0,False
Woody Campbell,/C/CampWo00.htm,RB,False,5.0,False
Billy Campfield,/C/CampBi00.htm,RB,False,6.0,False
Larry Canada,/C/CanaLa00.htm,RB,False,4.0,False
Trung Canidate,/C/CaniTr00.htm,RB,False,4.0,False
Sheldon Canley,/C/CanlSh20.htm,RB,False,1.0,False
Trenton Cannon,/C/CannTr00.htm,RB,False,2.0,True
Bob Cappadona,/C/CappBo00.htm,RB,False,3.0,False
John Cappelletti,/C/CappJo00.htm,RB,False,10.0,False
Ka'Deem Carey,/C/CareKa00.htm,RB,False,3.0,False
Rob Carpenter,/C/CarpRo01.htm,RB,False,10.0,False
Earl Carr,/C/CarrEa20.htm,RB,False,2.0,False
Lydell Carr,/C/CarrLy20.htm,RB,False,1.0,False
Paul Ott Carruth,/C/CarrPa00.htm,RB,False,4.0,False
Chris Carson,/C/CarsCh00.htm,RB,False,3.0,True
Allen Carter,/C/CartAl00.htm,RB,False,2.0,False
Delone Carter,/C/CartDe01.htm,RB,False,3.0,False
Dexter Carter,/C/CartDe00.htm,RB,False,7.0,False
Joe Carter,/C/CartJo00.htm,RB,False,3.0,False
Kerry Carter,/C/CartKe01.htm,RB,False,2.0,False
Ki-Jana Carter,/C/CartKi00.htm,RB,False,9.0,False
Louis Carter,/C/CartLo00.htm,RB,False,4.0,False
Rodney Carter,/C/CartRo00.htm,RB,False,3.0,False
Tony Carter,/C/CartTo00.htm,RB,False,9.0,False
Maurice Carthon,/C/CartMa00.htm,RB,False,8.0,False
Ran Carthon,/C/CartRa00.htm,RB,False,2.0,False
Mel Carver,/C/CarvMe00.htm,RB,False,6.0,False
Aveion Cason,/C/CasoAv00.htm,RB,False,8.0,False
Tim Castille,/C/CastTi20.htm,RB,False,3.0,False
Jehuu Caulcrick,/C/CaulJe00.htm,RB,False,1.0,False
Frank Cephous,/C/CephFr20.htm,RB,False,1.0,False
Pat Chaffey,/C/ChafPa00.htm,RB,False,3.0,False
Robert Chancey,/C/ChanRo20.htm,RB,False,4.0,False
Shaun Chapas,/C/ChapSh00.htm,RB,False,2.0,False
Doug Chapman,/C/ChapDo00.htm,RB,False,3.0,False
Kory Chapman,/C/ChapKo00.htm,RB,False,1.0,False
Jamaal Charles,/C/CharJa00.htm,RB,False,11.0,False
Cliff Chatman,/C/ChatCl20.htm,RB,False,1.0,False
Jesse Chatman,/C/ChatJe00.htm,RB,False,7.0,False
Tony Cherry,/C/CherTo20.htm,RB,False,2.0,False
George Chesser,/C/ChesGe00.htm,RB-P,False,2.0,False
Joe Chetti,/C/ChetJo20.htm,RB,False,1.0,False
John Chirico,/C/ChirJo20.htm,RB,False,1.0,False
Tashard Choice,/C/ChoiTa00.htm,RB,False,6.0,False
Bob Christian,/C/ChriBo00.htm,RB,False,11.0,False
Ryan Christopherson,/C/ChriRy20.htm,RB,False,2.0,False
Nick Chubb,/C/ChubNi00.htm,RB,False,2.0,True
Jordan Chunn,/C/ChunJo00.htm,RB,False,1.0,True
Darryl Clack,/C/ClacDa00.htm,RB,False,4.0,False
Rickey Claitt,/C/ClaiRi00.htm,RB,False,2.0,False
Allan Clark,/C/ClarAl00.htm,RB,False,4.0,False
Boobie Clark,/C/ClarBo00.htm,RB,False,8.0,False
Darryl Clark,/C/ClarDa23.htm,RB,False,1.0,False
Derrick Clark,/C/ClarDe01.htm,RB,False,1.0,False
Jessie Clark,/C/ClarJe00.htm,RB,False,8.0,False
Ken Clark,/C/ClarKe00.htm,TE-RB,False,3.0,False
Spark Clark,/C/ClarSp20.htm,RB,False,1.0,False
John Clay,/C/ClayJo00.htm,RB,False,1.0,False
Thomas Clayton,/C/ClayTh00.htm,RB,False,2.0,False
Corey Clement,/C/ClemCo00.htm,RB,False,3.0,True
Vince Clements,/C/ClemVi00.htm,RB,False,2.0,False
Topper Clemons,/C/ClemTo21.htm,RB,False,1.0,False
Michael Clemons,/C/ClemMi20.htm,RB,False,1.0,False
Mike Cloud,/C/ClouMi00.htm,RB,False,7.0,False
David Cobb,/C/CobbDa00.htm,RB,False,1.0,False
DeAndra Cobb,/C/CobbDe00.htm,RB,False,1.0,False
Reggie Cobb,/C/CobbRe00.htm,RB,False,7.0,False
Eric Cobble,/C/CobbEr20.htm,RB,False,1.0,False
Trevor Cobb,/C/CobbTr20.htm,RB,False,1.0,False
Cedric Cobbs,/C/CobbCe00.htm,RB,False,3.0,False
Patrick Cobbs,/C/CobbPa00.htm,RB,False,5.0,False
Avon Cobourne,/C/CoboAv00.htm,RB,False,1.0,False
Glen Coffee,/C/CoffGl00.htm,RB,False,1.0,False
Junior Coffey,/C/CoffJu00.htm,RB,False,7.0,False
Tarik Cohen,/C/CoheTa00.htm,RB,False,3.0,True
Terry Cole,/C/ColeTe00.htm,RB,False,4.0,False
Alonzo Coleman,/C/ColeAl21.htm,RB,False,1.0,False
Derrick Coleman,/C/ColeDe00.htm,RB,False,7.0,False
KaRon Coleman,/C/ColeKa00.htm,RB,False,3.0,False
Lavon Coleman,/C/ColeLa02.htm,RB,False,1.0,False
Ronnie Coleman,/C/ColeRo00.htm,RB,False,8.0,False
Tevin Coleman,/C/ColeTe01.htm,RB,False,5.0,True
Mike Collier,/C/CollMi00.htm,RB,False,5.0,False
Alex Collins,/C/CollAl00.htm,RB,False,3.0,False
Cecil Collins,/C/CollCe00.htm,RB,False,1.0,False
Larry Collins,/C/CollLa20.htm,RB,False,3.0,False
Patrick Collins,/C/CollPa20.htm,RB,False,1.0,False
Sonny Collins,/C/CollSo00.htm,RB,False,1.0,False
Tony Collins,/C/CollTo01.htm,RB,False,10.0,False
Larry Conjar,/C/ConjLa00.htm,RB,False,4.0,False
Steve Conley,/C/ConlSt00.htm,LB-RB,False,1.0,False
James Conner,/C/ConnJa00.htm,RB,False,3.0,True
John Conner,/C/ConnJo00.htm,RB,False,5.0,False
Dalvin Cook,/C/CookDa01.htm,RB,False,3.0,True
Kelly Cook,/C/CookKe20.htm,RB,False,1.0,False
Earl Cooper,/C/CoopEa00.htm,RB-TE,False,7.0,False
Rafael Cooper,/C/CoopRa00.htm,RB,False,1.0,False
Anthony Corley,/C/CorlAn20.htm,RB,False,2.0,False
Bo Cornell,/C/CornBo20.htm,LB-RB,False,7.0,False
Kenyon Cotton,/C/CottKe00.htm,RB,False,2.0,False
Jaime Covington,/C/CoviJa20.htm,RB,False,1.0,False
Larry Cowan,/C/CowaLa20.htm,RB,False,1.0,False
Chandler Cox,/C/CoxxCh01.htm,RB\n,False,1.0,True
Michael Cox,/C/CoxxMi00.htm,RB,False,2.0,False
Mike Cox,/C/Cox_Mi20.htm,RB,False,5.0,False
Donnie Craft,/C/CrafDo00.htm,RB,False,3.0,False
Roger Craig,/C/CraiRo00.htm,RB,False,11.0,False
Casey Cramer,/C/CramCa00.htm,RB-TE,False,5.0,False
Aaron Craver,/C/CravAa00.htm,RB,False,9.0,False
Charles Crawford,/C/CrawCh00.htm,RB,False,2.0,False
Mike Crawford,/C/CrawMi20.htm,RB,False,1.0,False
Rufus Crawford,/C/CrawRu20.htm,RB,False,1.0,False
Willis Crenshaw,/C/CrenWi00.htm,RB,False,7.0,False
Joe Cribbs,/C/CribJo00.htm,RB,False,9.0,False
John Crockett,/C/CrocJo00.htm,RB,False,1.0,False
Corey Croom,/C/CrooCo00.htm,RB,False,3.0,False
Larry Croom,/C/CrooLa00.htm,RB,False,1.0,False
Steve Crosby,/C/CrosSt00.htm,RB,False,3.0,False
Leon Crosswhite,/C/CrosLe00.htm,RB,False,2.0,False
Ray Crouse,/C/CrouRa00.htm,RB,False,1.0,False
Larry Crowe,/C/CrowLa00.htm,RB,False,4.0,False
Isaiah Crowell,/C/CrowIs00.htm,RB,False,5.0,True
Derrick Crudup,/C/CrudDe20.htm,DB-RB,False,3.0,False
Dwayne Crutchfield,/C/CrutDw00.htm,RB,False,3.0,False
Ronnie Cruz,/C/CruzRo00.htm,RB,False,2.0,False
Larry Csonka,/C/CsonLa00.htm,RB,True,12.0,False
Jim Culbreath,/C/CulbJi00.htm,RB,False,4.0,False
Derrick Cullors,/C/CullDe00.htm,RB,False,2.0,False
